latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
27.98426,22.32333,312.64,0.41,0.45,2026-05-28,0001,N,nominal,2.0NRT,290.74,1.98,N
28.20987,19.91257,312.43,0.57,0.52,2026-05-28,0001,N,nominal,2.0NRT,288.56,1.67,N
27.21084,27.92057,299.54,0.38,0.36,2026-05-28,0001,N,nominal,2.0NRT,288,0.29,N
27.94438,22.38054,306.53,0.4,0.44,2026-05-28,0001,N,nominal,2.0NRT,290.01,0.81,N
27.94392,22.38466,302.6,0.4,0.44,2026-05-28,0001,N,nominal,2.0NRT,290.11,0.81,N
27.94558,22.38229,318.84,0.4,0.44,2026-05-28,0001,N,nominal,2.0NRT,290.55,1.39,N
28.2105,19.91184,315.27,0.56,0.52,2026-05-28,0001,N,nominal,2.0NRT,288.81,1.64,N
26.25329,32.97222,306.25,0.56,0.43,2026-05-28,0001,N,nominal,2.0NRT,293.14,1.6,N
27.81215,22.43091,332.92,0.4,0.44,2026-05-28,0001,N,nominal,2.0NRT,290.78,3.23,N
27.81167,22.435,329,0.4,0.44,2026-05-28,0001,N,nominal,2.0NRT,290.78,3.23,N
28.05613,19.91012,337.52,0.56,0.52,2026-05-28,0001,N,nominal,2.0NRT,290.63,5.45,N
28.10341,19.25038,304.28,0.62,0.54,2026-05-28,0001,N,nominal,2.0NRT,288.47,1.33,N
28.12924,18.78737,309.46,0.33,0.55,2026-05-28,0001,N,nominal,2.0NRT,287.8,0.97,N
28.12895,18.79077,301.64,0.33,0.55,2026-05-28,0001,N,nominal,2.0NRT,287.03,0.56,N
27.98425,19.90105,338.38,0.56,0.52,2026-05-28,0001,N,nominal,2.0NRT,293.37,7.98,N
27.9837,19.90689,323.86,0.56,0.52,2026-05-28,0001,N,nominal,2.0NRT,289.01,7.98,N
27.98419,19.9046,343.04,0.56,0.52,2026-05-28,0001,N,nominal,2.0NRT,293.65,9.55,N
27.65336,22.48173,308.7,0.39,0.44,2026-05-28,0001,N,nominal,2.0NRT,291.2,1.38,N
27.64929,22.48112,329.83,0.39,0.44,2026-05-28,0001,N,nominal,2.0NRT,291.86,1.38,N
27.6465,22.50529,338.39,0.39,0.44,2026-05-28,0001,N,nominal,2.0NRT,291.81,1.88,N
27.64522,22.48052,347.87,0.39,0.44,2026-05-28,0001,N,nominal,2.0NRT,291.56,5.41,N
27.6429,22.50065,356.86,0.39,0.44,2026-05-28,0001,N,nominal,2.0NRT,293.95,8.94,N
27.5848,22.40356,342.13,0.4,0.44,2026-05-28,0001,N,nominal,2.0NRT,292.4,5.86,N
27.58072,22.40296,342.47,0.4,0.44,2026-05-28,0001,N,nominal,2.0NRT,290.96,5.69,N
27.59639,21.61649,312.52,0.44,0.46,2026-05-28,0001,N,nominal,2.0NRT,292.19,1.18,N
27.59363,21.61842,307.55,0.44,0.46,2026-05-28,0001,N,nominal,2.0NRT,291.92,1.58,N
24.02444,40.47662,308.55,0.57,0.69,2026-05-28,0001,N,nominal,2.0NRT,293.94,1.43,N
-15.49333,16.09706,303.75,0.41,0.37,2026-05-28,0011,N,nominal,2.0NRT,283.02,1.01,N
3.39579,30.75615,298.96,0.33,0.55,2026-05-28,0005,N,nominal,2.0NRT,286.88,0.52,N
-15.49676,16.09645,297.81,0.41,0.37,2026-05-28,0011,N,nominal,2.0NRT,283.67,0.92,N
-1.40432,29.20124,295.03,0.61,0.54,2026-05-28,0007,N,nominal,2.0NRT,283.31,0.81,N
-1.40522,29.20681,302.95,0.61,0.54,2026-05-28,0007,N,nominal,2.0NRT,280.34,0.88,N
-17.32882,27.20725,302.85,0.37,0.58,2026-05-28,0011,N,nominal,2.0NRT,289.3,0.77,N
-1.40616,29.21272,297.8,0.61,0.54,2026-05-28,0007,N,nominal,2.0NRT,279.1,0.88,N
-17.47696,27.09584,314.73,0.37,0.58,2026-05-28,0011,N,nominal,2.0NRT,289.6,1.65,N
-1.40629,29.20572,325.74,0.61,0.54,2026-05-28,0007,N,nominal,2.0NRT,283.93,23.85,N
-15.75717,14.77123,307.14,0.46,0.39,2026-05-28,0011,N,nominal,2.0NRT,283.61,1.26,N
-1.40716,29.2114,304.81,0.62,0.54,2026-05-28,0007,N,nominal,2.0NRT,279.49,4.05,N
27.58108,18.46625,323.97,0.34,0.56,2026-05-28,0001,N,nominal,2.0NRT,287.98,1.92,N
-15.75729,14.76852,306.1,0.46,0.39,2026-05-28,0011,N,nominal,2.0NRT,283.22,1.26,N
-1.41125,29.20503,347.54,0.61,0.54,2026-05-28,0007,N,nominal,2.0NRT,287.16,23.85,N
27.58076,18.46975,298.98,0.34,0.56,2026-05-28,0001,N,nominal,2.0NRT,287.5,0.94,N
-1.41208,29.21048,323.77,0.62,0.54,2026-05-28,0007,N,nominal,2.0NRT,280.88,4.05,N
-17.42142,24.20021,313.14,0.47,0.48,2026-05-28,0011,N,nominal,2.0NRT,287.83,1.17,N
-1.41318,29.21769,298.06,0.62,0.54,2026-05-28,0007,N,nominal,2.0NRT,279.7,4.05,N
23.68155,38.77648,317.82,0.46,0.64,2026-05-28,0001,N,nominal,2.0NRT,295.29,1.7,N
-18.32581,26.39471,330.65,0.34,0.56,2026-05-28,0011,N,nominal,2.0NRT,287.03,1.99,N
-1.41707,29.20999,297.88,0.62,0.54,2026-05-28,0007,N,nominal,2.0NRT,279.37,1.8,N
22.67864,39.03002,306.62,0.5,0.66,2026-05-28,0001,N,nominal,2.0NRT,294.62,1.06,N
-1.51939,29.24761,338.41,0.62,0.54,2026-05-28,0007,N,nominal,2.0NRT,282.73,4.59,N
-18.35995,26.65766,322.17,0.35,0.57,2026-05-28,0011,N,nominal,2.0NRT,288.82,1.31,N
22.55613,39.43443,307.67,0.53,0.67,2026-05-28,0001,N,nominal,2.0NRT,295.92,2.35,N
-1.51927,29.24572,337.9,0.62,0.54,2026-05-28,0007,N,nominal,2.0NRT,282.21,6.55,N
-18.36032,26.66102,321.82,0.35,0.57,2026-05-28,0011,N,nominal,2.0NRT,289.05,1.31,N
20.71614,39.82487,306.87,0.62,0.71,2026-05-28,0001,N,nominal,2.0NRT,295.68,1.87,N
-1.52426,29.24512,337.85,0.62,0.54,2026-05-28,0007,N,nominal,2.0NRT,278.68,6.55,N
-18.34999,26.42188,331.95,0.34,0.56,2026-05-28,0011,N,nominal,2.0NRT,288.35,2.21,N
14.39045,38.3639,302.07,0.67,0.74,2026-05-28,0003,N,nominal,2.0NRT,289.2,1.41,N
-1.52507,29.25047,295.1,0.62,0.54,2026-05-28,0007,N,nominal,2.0NRT,278.27,2.88,N
-18.36667,26.47617,330.58,0.34,0.56,2026-05-28,0011,N,nominal,2.0NRT,294.7,2.81,N
-1.80102,16.81637,303.67,0.54,0.42,2026-05-28,0007,N,nominal,2.0NRT,289.4,0.88,N
14.39038,38.3622,301.32,0.68,0.74,2026-05-28,0003,N,nominal,2.0NRT,288.67,1.31,N
-18.36371,26.44969,309.01,0.34,0.56,2026-05-28,0011,N,nominal,2.0NRT,290.49,1.18,N
-1.80491,16.81575,306.97,0.54,0.42,2026-05-28,0007,N,nominal,2.0NRT,289.36,0.88,N
14.28702,33.35464,333.14,0.32,0.55,2026-05-28,0003,N,nominal,2.0NRT,296.48,2.17,N
-18.36893,26.44892,301.21,0.34,0.56,2026-05-28,0011,N,nominal,2.0NRT,289.93,1.18,N
-3.15481,25.06902,314.44,0.53,0.42,2026-05-28,0007,N,nominal,2.0NRT,290.76,2.09,N
14.3154,32.14091,311.2,0.53,0.5,2026-05-28,0003,N,nominal,2.0NRT,295.57,1.95,N
-18.3719,26.47538,315.13,0.34,0.56,2026-05-28,0011,N,nominal,2.0NRT,289.29,2.81,N
-3.15866,25.06843,300.66,0.53,0.42,2026-05-28,0007,N,nominal,2.0NRT,290.57,1.54,N
-18.37227,26.47866,300.76,0.34,0.56,2026-05-28,0011,N,nominal,2.0NRT,287.37,2.33,N
14.31079,32.13998,307.61,0.53,0.5,2026-05-28,0003,N,nominal,2.0NRT,294.71,1.9,N
-3.15938,25.07316,314.27,0.53,0.42,2026-05-28,0007,N,nominal,2.0NRT,291.14,1.54,N
-18.41029,26.49348,299.21,0.34,0.56,2026-05-28,0011,N,nominal,2.0NRT,287.25,0.16,N
15.20422,23.74025,314.99,0.4,0.37,2026-05-28,0005,N,nominal,2.0NRT,296.58,1.16,N
-18.42066,26.54052,303.17,0.35,0.56,2026-05-28,0011,N,nominal,2.0NRT,287.76,1.1,N
-3.16324,25.07257,319.45,0.53,0.42,2026-05-28,0007,N,nominal,2.0NRT,290.92,1.54,N
15.20085,23.73971,310.59,0.4,0.37,2026-05-28,0005,N,nominal,2.0NRT,296.07,1.16,N
-18.42365,26.51868,301.5,0.35,0.56,2026-05-28,0011,N,nominal,2.0NRT,289.61,1.13,N
-4.04352,28.64005,304.47,0.61,0.54,2026-05-28,0007,N,nominal,2.0NRT,286.97,2.05,N
-18.42323,26.46544,300.92,0.34,0.56,2026-05-28,0011,N,nominal,2.0NRT,286.56,0.59,N
12.76241,30.01095,316.86,0.41,0.45,2026-05-28,0005,N,nominal,2.0NRT,295.52,1.33,N
-4.0477,28.63408,311.45,0.61,0.54,2026-05-28,0007,N,nominal,2.0NRT,287.58,2.07,N
-18.43429,26.51829,303.37,0.35,0.56,2026-05-28,0011,N,nominal,2.0NRT,288.36,0.79,N
-4.04847,28.63926,301.2,0.61,0.54,2026-05-28,0007,N,nominal,2.0NRT,287.09,1.53,N
13.21381,24.31983,312.37,0.38,0.36,2026-05-28,0005,N,nominal,2.0NRT,294.25,1.34,N
-18.43553,26.48064,302.54,0.34,0.56,2026-05-28,0011,N,nominal,2.0NRT,290.11,1.42,N
-4.13429,29.00474,297.84,0.33,0.55,2026-05-28,0007,N,nominal,2.0NRT,286.91,0.57,N
13.20994,24.32282,308.81,0.38,0.36,2026-05-28,0005,N,nominal,2.0NRT,293.96,0.7,N
-18.43588,26.48388,311.19,0.34,0.56,2026-05-28,0011,N,nominal,2.0NRT,292.23,1.55,N
-4.13761,29.00635,297,0.33,0.55,2026-05-28,0007,N,nominal,2.0NRT,286.9,0.41,N
12.43376,28.36163,305.96,0.5,0.41,2026-05-28,0005,N,nominal,2.0NRT,294.21,0.91,N
-18.43623,26.4871,309.82,0.34,0.56,2026-05-28,0011,N,nominal,2.0NRT,291.69,1.55,N
-3.5275,23.91125,299.73,0.46,0.39,2026-05-28,0007,N,nominal,2.0NRT,288.03,0.26,N
-18.43881,26.51082,308.97,0.34,0.56,2026-05-28,0011,N,nominal,2.0NRT,289.95,1.45,N
12.55001,27.35308,304.93,0.45,0.39,2026-05-28,0005,N,nominal,2.0NRT,293.6,0.66,N
-4.61536,31.20186,308.32,0.47,0.64,2026-05-28,0007,N,nominal,2.0NRT,282.26,1.31,N
-18.44078,26.48002,300.95,0.34,0.56,2026-05-28,0011,N,nominal,2.0NRT,289.93,1.29,N
12.46372,26.7719,307.28,0.43,0.38,2026-05-28,0005,N,nominal,2.0NRT,295.3,1.06,N
-4.61663,31.2107,301.61,0.47,0.64,2026-05-28,0007,N,nominal,2.0NRT,282.37,0.94,N
-18.44408,26.51018,300.91,0.34,0.56,2026-05-28,0011,N,nominal,2.0NRT,286.79,0.58,N
12.45959,26.77521,324.83,0.43,0.38,2026-05-28,0005,N,nominal,2.0NRT,296.3,2.75,N
-3.67043,24.46563,307.69,0.49,0.41,2026-05-28,0007,N,nominal,2.0NRT,289.25,0.87,N
-18.52829,26.02742,295.01,0.32,0.55,2026-05-28,0011,N,nominal,2.0NRT,284.84,0.25,N
12.45612,26.77461,305.61,0.43,0.38,2026-05-28,0005,N,nominal,2.0NRT,295.55,1.27,N
-18.52865,26.0306,296.32,0.32,0.55,2026-05-28,0011,N,nominal,2.0NRT,283.32,0.25,N
-3.67093,24.46249,304.5,0.49,0.41,2026-05-28,0007,N,nominal,2.0NRT,288.99,0.82,N
12.45264,26.77401,318.55,0.43,0.38,2026-05-28,0005,N,nominal,2.0NRT,296.43,1.27,N
-20.01315,28.81541,297.18,0.51,0.66,2026-05-28,0011,N,nominal,2.0NRT,282.04,0.41,N
-3.6716,24.4669,303.26,0.49,0.41,2026-05-28,0007,N,nominal,2.0NRT,289.62,0.65,N
12.44917,26.77341,330.76,0.43,0.38,2026-05-28,0005,N,nominal,2.0NRT,297.44,3.66,N
-20.80163,31.01192,296.66,0.71,0.75,2026-05-28,0011,N,nominal,2.0NRT,284.03,0.27,N
-4.29515,28.33827,325.57,0.59,0.53,2026-05-28,0007,N,nominal,2.0NRT,290.57,4.06,N
-21.11773,31.51999,308.06,0.77,0.77,2026-05-28,0011,N,nominal,2.0NRT,284.74,3.69,N
12.42682,26.7575,325.86,0.43,0.38,2026-05-28,0005,N,nominal,2.0NRT,296.9,2.52,N
-4.18733,27.60816,303,0.52,0.5,2026-05-28,0007,N,nominal,2.0NRT,288.96,0.5,N
-21.1183,31.52794,306.5,0.77,0.77,2026-05-28,0011,N,nominal,2.0NRT,284.47,2.49,N
12.47357,22.8842,323.33,0.4,0.37,2026-05-28,0005,N,nominal,2.0NRT,298.06,2.96,N
-4.31561,27.467,305.69,0.51,0.5,2026-05-28,0007,N,nominal,2.0NRT,289.42,0.69,N
-21.81276,28.94109,309.03,0.54,0.68,2026-05-28,0013,N,nominal,2.0NRT,283.02,0.1,N
12.473,22.88789,323.45,0.4,0.37,2026-05-28,0005,N,nominal,2.0NRT,297.99,2.34,N
-4.14399,26.14186,311.81,0.42,0.45,2026-05-28,0007,N,nominal,2.0NRT,290.06,1.51,N
-23.43111,23.05405,297.45,0.48,0.48,2026-05-28,0013,N,nominal,2.0NRT,279.39,0.16,N
-4.14507,26.14261,308.41,0.42,0.45,2026-05-28,0007,N,nominal,2.0NRT,289.85,1.53,N
12.46961,22.88733,335.67,0.4,0.37,2026-05-28,0005,N,nominal,2.0NRT,298.59,1.87,N
-24.81707,30.11529,317.11,0.68,0.74,2026-05-28,0013,N,nominal,2.0NRT,286.49,3.24,N
-3.87144,24.21068,303.64,0.48,0.4,2026-05-28,0007,N,nominal,2.0NRT,288.15,0.82,N
-24.81487,30.11744,315.35,0.68,0.74,2026-05-28,0013,N,nominal,2.0NRT,286.71,4.25,N
12.47018,22.88365,311.38,0.4,0.37,2026-05-28,0005,N,nominal,2.0NRT,297.96,3.4,N
-3.87211,24.21505,302.18,0.48,0.4,2026-05-28,0007,N,nominal,2.0NRT,287.1,0.31,N
-24.83714,27.36587,295.78,0.46,0.64,2026-05-28,0013,N,nominal,2.0NRT,282.1,0.73,N
12.46623,22.88677,307.85,0.4,0.37,2026-05-28,0005,N,nominal,2.0NRT,295.63,1.87,N
-3.87581,24.21447,312.95,0.48,0.4,2026-05-28,0007,N,nominal,2.0NRT,287.33,1.33,N
-24.98049,27.54404,297.31,0.47,0.64,2026-05-28,0013,N,nominal,2.0NRT,283.71,0.66,N
-4.4612,27.87893,303.95,0.55,0.51,2026-05-28,0007,N,nominal,2.0NRT,289.03,0.85,N
12.24736,22.30366,306.62,0.42,0.37,2026-05-28,0005,N,nominal,2.0NRT,295.42,0.9,N
-25.33864,30.76816,303.31,0.75,0.77,2026-05-28,0013,N,nominal,2.0NRT,284.38,1.8,N
-4.49421,27.90518,305.93,0.55,0.51,2026-05-28,0007,N,nominal,2.0NRT,287.25,1.51,N
